x,y
0,4
0,8
0,12
0,15
0,19
0,23
0,27
0,31
0,35
0,40
0,44
0,48
0,52
0,56
0,59
0,63
0,67
0,71
0,75
0,79
0,83
0,87
0,91
0,96
0,101
0,105
0,109
0,113
0,116
0,121
0,125
0,130
0,134
0,138
0,142
0,146
0,151
0,156
0,161
0,3
0,8
0,12
0,16
0,21
0,26
0,6
0,11
0,14
0,18
0,21
0,25
0,28
0,5
0,9
0,13
0,18
0,24
0,28
0,31
0,35
0,38
0,43
0,47
0,51
0,55
0,60
0,64
0,68
